Ticker,Volatility
KO,0.1279381230984476
PG,0.14988183376523093
JNJ,0.1512140514754464
V,0.168842136432081
WMT,0.17686946482614813
MCD,0.17819185204368074
HON,0.17982139585242068
CSCO,0.18020618248980813
CVX,0.19226278321910634
MSFT,0.19961527526648992
HD,0.20491806221780798
MRK,0.21165446882410893
VZ,0.21201938509418386
SHW,0.21405781455400164
AAPL,0.2268046597929804
IBM,0.23397414975462283
TRV,0.23475728753615444
JPM,0.23493525442728533
AXP,0.24109257534227552
GS,0.2575733788120692
AMGN,0.25760428231248095
DIS,0.2582389261967007
CAT,0.2603291436107389
UNH,0.2730074798238311
AMZN,0.28091446747497845
NKE,0.3199281556602113
MMM,0.33548152781864743
BA,0.3425643514464682
CRM,0.35934572024556355
NVDA,0.5250329075284242
