Ticker,Momentum
NVDA,1.712493019255319
WMT,0.7399232103480256
AXP,0.6032012474498676
GS,0.5203132819683804
MMM,0.46124425812480396
AMZN,0.4439252064264869
JPM,0.4428813323864953
IBM,0.39270469097679483
AAPL,0.30705247923262613
TRV,0.28758439281822823
CRM,0.27763677725664215
CAT,0.24658645486388964
DIS,0.24442783509153942
V,0.2231830626336213
CSCO,0.209956086503146
PG,0.1725378220564151
HD,0.14995739875933567
VZ,0.13142599014783962
MSFT,0.12927311474398073
HON,0.10015607228662593
SHW,0.09900172297457477
KO,0.088775083037403
CVX,0.012871095285540202
MCD,0.0013660477076982147
UNH,-0.02410372824033513
JNJ,-0.04811465861261921
MRK,-0.06260069727720097
AMGN,-0.06771940316598524
NKE,-0.2910745829018321
BA,-0.3209545096552553
